MONA_CD,HG_NM,HJ_NM,ENG_NM,BTH_GBN_NM,BTH_DATE,SEX_GBN_NM,REELE_GBN_NM,UNITS,UNIT_CD,UNIT_NM,POLY_NM,ORIG_NM,ELECT_GBN_NM
8SV6917G,주호영,朱豪英,JOO HOYOUNG,음,1960-12-10,남,5선,"제17대, 제18대, 제19대, 제20대, 제21대",100020,제20대,무소속,대구 수성구을,지역구
5HG31863,지상욱,池尙昱,JI SANGWUK,양,1965-05-16,남,초선,제20대,100020,제20대,미래통합당,서울 중구성동구을,지역구
68P7228G,진선미,陳善美,JIN SUNMEE,양,1967-05-14,여,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 강동구갑,지역구
IDV9108J,진영,陳永,CHIN YOUNG,양,1950-10-23,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,더불어민주당,서울 용산구,지역구
GDN7894V,채이배,蔡利培,CHAE YIBAI,양,1975-01-02,남,초선,제20대,100020,제20대,민생당,비례대표,비례대표
3SP89633,천정배,千正培,CHUN JUNGBAE,양,1954-12-12,남,6선,"제15대, 제16대, 제17대, 제18대, 제19대, 제20대",100020,제20대,민생당,광주 서구을,지역구
FJ03481D,최경환,崔炅煥,CHOI KYUNGHWAN,양,1955-02-27,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,자유한국당,경북 경산시,지역구
KA04352K,최경환,崔敬煥,CHOI GYUNGHWAN,음,1959-07-28,남,초선,제20대,100020,제20대,민생당,광주 북구을,지역구
TO79481Z,최교일,崔敎一,CHOI GYOIL,음,1962-02-28,남,초선,제20대,100020,제20대,미래통합당,경북 영주시문경시예천군,지역구
O8E1566L,최도자,崔道子,CHOI DOJA,양,1955-03-04,여,초선,제20대,100020,제20대,민생당,비례대표,비례대표
U013741R,최명길,崔明吉,CHOI MYUNGGHIL,양,1961-03-19,남,초선,제20대,100020,제20대,국민의당,서울 송파구을,지역구
16I8621J,최연혜,崔然惠,CHOI YEONHYE,양,1956-04-02,여,초선,제20대,100020,제20대,미래통합당,비례대표,비례대표
ZJI5740K,최운열,崔運烈,CHOI WOONYOUL,양,1950-04-02,남,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
LPB30152,최인호,崔仁昊,CHOI INHO,양,1966-10-15,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,부산 사하구갑,지역구
VE469451,최재성,崔宰誠,CHOI JAE SUNG,양,1965-09-09,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,더불어민주당,서울 송파구을,지역구
G152611B,추경호,秋慶鎬,CHOO KYUNGHO,양,1960-07-29,남,재선,"제20대, 제21대",100020,제20대,새누리당,대구 달성군,지역구
URV1689Q,추미애,秋美愛,CHOO MIAE,양,1958-10-23,여,5선,"제15대, 제16대, 제18대, 제19대, 제20대",100020,제20대,더불어민주당,서울 광진구을,지역구
XTB3104O,추혜선,秋惠仙,CHU HYESEON,양,1971-01-15,여,초선,제20대,100020,제20대,정의당,비례대표,비례대표
EX94352K,표창원,表蒼園,PYO CHANGWON,양,1966-05-03,남,초선,제20대,100020,제20대,더불어민주당,경기 용인시정,지역구
I0S53762,하태경,河泰慶,HA TAEKEUNG,음,1968-03-29,남,3선,"제19대, 제20대, 제21대",100020,제20대,새누리당,부산 해운대구갑,지역구
ZX71333R,한선교,韓善敎,HAN SUNKYO,양,1959-06-23,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,미래한국당,경기 용인시병,지역구
XPP2564T,한정애,韓貞愛,HAN JEOUNGAE,음,1965-01-08,여,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 강서구병,지역구
1KD95875,함진규,咸珍圭,HAM JINGYU,음,1959-08-13,남,재선,"제19대, 제20대",100020,제20대,미래통합당,경기 시흥시갑,지역구
3UZ61136,허윤정,許允貞,HEOYUNJUNG,양,1969-03-09,여,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
T2K9554I,홍문종,洪文鐘,HONG MOONJONG,양,1955-04-05,남,4선,"제15대, 제16대, 제19대, 제20대",100020,제20대,친박신당,경기 의정부시을,지역구
GD131760,홍문표,洪文杓,HONG MOONPYO,양,1947-10-05,남,4선,"제17대, 제19대, 제20대, 제21대",100020,제20대,새누리당,충남 홍성군예산군,지역구
KR14136C,홍영표,洪永杓,HONG YOUNGPYO,음,1957-04-30,남,4선,"제18대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,인천 부평구을,지역구
GW55008L,홍의락,洪宜洛,HONG EUIRAK,양,1955-03-11,남,재선,"제19대, 제20대",100020,제20대,더불어민주당,대구 북구을,지역구
FRN1867O,홍익표,洪翼杓,HONG IHKPYO,양,1967-11-20,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 중구성동구갑,지역구
06L2365K,홍일표,洪日杓,HONG ILPYO,양,1956-02-11,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,인천 남구갑,지역구
R365233W,홍철호,洪哲鎬,HONG CHULHO,양,1958-08-13,남,재선,"제19대, 제20대",100020,제20대,미래통합당,경기 김포시을,지역구
C7Z8238W,황영철,黃永哲,HWANG YOUNGCHEUL,양,1965-07-13,남,3선,"제18대, 제19대, 제20대",100020,제20대,자유한국당,강원 홍천군철원군화천군양구군인제군,지역구
JOY4394O,황주홍,黃柱洪,HWANG JUHONG,양,1952-02-27,남,재선,"제19대, 제20대",100020,제20대,민생당,전남 고흥군보성군장흥군강진군,지역구
0VU8517U,황희,黃熙,HWANG HEE,양,1967-07-28,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 양천구갑,지역구
